id,clientid,pid,pnme,value,trsdate,value2
551026,test001,TEC-AC,Accessories,1231.9505,1/1/2017,1231.9505
551331,test001,TEC-AC,Accessories,763.1255,2/1/2017,763.1255
551243,test001,TEC-AC,Accessories,909.8473,3/1/2017,909.8473
551463,test001,TEC-AC,Accessories,2418.6905,4/1/2017,2418.6905
550954,test001,TEC-AC,Accessories,660.7155,5/1/2017,660.7155
551020,test001,TEC-AC,Accessories,633.688,6/1/2017,633.688
551159,test001,TEC-AC,Accessories,3163.3974,7/1/2017,3163.3974
550992,test001,TEC-AC,Accessories,2839.9813,8/1/2017,2839.9813
550858,test001,TEC-AC,Accessories,1324.1081,9/1/2017,1324.1081
550984,test001,TEC-AC,Accessories,2472.0995,10/1/2017,2472.0995
551007,test001,TEC-AC,Accessories,2500.5558,11/1/2017,2500.5558
551361,test001,TEC-AC,Accessories,4930.5038,12/1/2017,4930.5038
550905,test001,TEC-AC,Accessories,388.3448,1/1/2018,388.3448
550876,test001,TEC-AC,Accessories,1377.5817,2/1/2018,1377.5817
551086,test001,TEC-AC,Accessories,1234.4015,3/1/2018,1234.4015
551362,test001,TEC-AC,Accessories,1471.4873,4/1/2018,1471.4873
551458,test001,TEC-AC,Accessories,1138.1532,5/1/2018,1138.1532
551028,test001,TEC-AC,Accessories,1667.4039,6/1/2018,1667.4039
551507,test001,TEC-AC,Accessories,4963.731,7/1/2018,4963.731
551008,test001,TEC-AC,Accessories,1113.8503,8/1/2018,1113.8503
551517,test001,TEC-AC,Accessories,5536.8261,9/1/2018,5536.8261
551153,test001,TEC-AC,Accessories,4043.0765,10/1/2018,4043.0765
550887,test001,TEC-AC,Accessories,4154.8269,11/1/2018,4154.8269
551023,test001,TEC-AC,Accessories,11322.974,12/1/2018,11322.974
550958,test001,TEC-AC,Accessories,1924.4511,1/1/2019,1924.4511
550829,test001,TEC-AC,Accessories,342.9785,2/1/2019,342.9785
551504,test001,TEC-AC,Accessories,2378.9501,3/1/2019,2378.9501
551169,test001,TEC-AC,Accessories,1535.6332,4/1/2019,1535.6332
551098,test001,TEC-AC,Accessories,3770.3163,5/1/2019,3770.3163
551213,test001,TEC-AC,Accessories,1584.7786,6/1/2019,1584.7786
551155,test001,TEC-AC,Accessories,1114.4697,7/1/2019,1114.4697
550810,test001,TEC-AC,Accessories,4419.8636,8/1/2019,4419.8636
