,beg_month,product,region,district,terr,ro
0,1/1/2017,ACUTE,A1,R101,TMV1001,30
1,1/1/2017,ACUTE,A1,R101,TMV1002,31
2,1/1/2017,ACUTE,A1,R101,TMV1003,24
3,1/1/2017,ACUTE,A1,R101,TMV2001,37
4,1/1/2017,ACUTE,A1,R102,TMV1007,17
5,1/1/2017,ACUTE,A1,R102,TMV1009,26
6,1/1/2017,ACUTE,A1,R102,TMV1010,27
7,1/1/2017,ACUTE,A1,R102,TMV2010,8
8,1/1/2017,ACUTE,A1,R103,TMV1004,15
9,1/1/2017,ACUTE,A1,R103,TMV1020,20
10,1/1/2017,ACUTE,A1,R103,TMV1021,32
11,1/1/2017,ACUTE,A1,R103,TMV1023,42
12,1/1/2017,ACUTE,A1,R103,TMV1212,19
13,1/1/2017,ACUTE,A1,R103,TMV1252,45
14,1/1/2017,ACUTE,A1,R104,TMV1006,35
15,1/1/2017,ACUTE,A1,R104,TMV1019,26
16,1/1/2017,ACUTE,A1,R104,TMV1245,21
17,1/1/2017,ACUTE,A1,R105,TMV1018,13
18,1/1/2017,ACUTE,A1,R105,TMV1035,21
19,1/1/2017,ACUTE,A1,R105,TMV1039,9
20,1/1/2017,ACUTE,A1,R105,TMV2035,12
21,1/1/2017,ACUTE,A1,R130,TMV9991,1
22,1/1/2017,ACUTE,A2,R201,TMV1011,24
23,1/1/2017,ACUTE,A2,R201,TMV1012,6
24,1/1/2017,ACUTE,A2,R201,TMV1013,23
25,1/1/2017,ACUTE,A2,R201,TMV1014,19
26,1/1/2017,ACUTE,A2,R201,TMV1244,16
27,1/1/2017,ACUTE,A2,R202,TMV1008,17
28,1/1/2017,ACUTE,A2,R202,TMV1015,65
29,1/1/2017,ACUTE,A2,R202,TMV1016,19
30,1/1/2017,ACUTE,A2,R202,TMV1017,29
31,1/1/2017,ACUTE,A2,R203,TMV1024,5
32,1/1/2017,ACUTE,A2,R203,TMV1025,23
33,1/1/2017,ACUTE,A2,R203,TMV1027,33
34,1/1/2017,ACUTE,A2,R203,TMV2024,21
35,1/1/2017,ACUTE,A2,R204,TMV1026,55
36,1/1/2017,ACUTE,A2,R204,TMV1029,21
37,1/1/2017,ACUTE,A2,R204,TMV1030,19
38,1/1/2017,ACUTE,A2,R204,TMV1032,23
39,1/1/2017,ACUTE,A2,R204,TMV1033,15
40,1/1/2017,ACUTE,A2,R205,TMV1028,23
41,1/1/2017,ACUTE,A2,R205,TMV1031,26
42,1/1/2017,ACUTE,A2,R205,TMV1034,14
43,1/1/2017,ACUTE,A2,R205,TMV2034,15
44,1/1/2017,ACUTE,A2,R206,TMV1037,13
45,1/1/2017,ACUTE,A2,R206,TMV1038,37
46,1/1/2017,ACUTE,A2,R206,TMV1228,47
47,1/1/2017,ACUTE,A2,R206,TMV1230,13
48,1/1/2017,ACUTE,A3,R301,TMV1118,27
49,1/1/2017,ACUTE,A3,R301,TMV1119,28
50,1/1/2017,ACUTE,A3,R301,TMV1121,31
51,1/1/2017,ACUTE,A3,R301,TMV1227,20
52,1/1/2017,ACUTE,A3,R301,TMV2228,12
53,1/1/2017,ACUTE,A3,R302,TMV1078,22
54,1/1/2017,ACUTE,A3,R302,TMV1080,34
55,1/1/2017,ACUTE,A3,R302,TMV1081,15
56,1/1/2017,ACUTE,A3,R302,TMV1082,20
57,1/1/2017,ACUTE,A3,R302,TMV2081,4
58,1/1/2017,ACUTE,A3,R303,TMV1084,24
59,1/1/2017,ACUTE,A3,R303,TMV1085,25
60,1/1/2017,ACUTE,A3,R303,TMV1086,31
61,1/1/2017,ACUTE,A3,R303,TMV1087,25
62,1/1/2017,ACUTE,A3,R304,TMV1089,23
63,1/1/2017,ACUTE,A3,R304,TMV1091,33
64,1/1/2017,ACUTE,A3,R304,TMV1092,12
65,1/1/2017,ACUTE,A3,R304,TMV1117,27
